source_id,title,publisher_or_project,url,coverage,accessed
WHE-SPICE-1777,The Spice Trade & the Age of Exploration,World History Encyclopedia,https://www.worldhistory.org/article/1777/the-spice-trade--the-age-of-exploration/,Medieval–early modern spice uses; Cape route; pepper price chain; later displacement by sugar cotton tea opium,2026-08-15
NEWBERRY-SPICE,The Medieval Spice Trade,Digital Collections for the Classroom (Newberry Library),https://dcc.newberry.org/?p=14381,Venice as late-medieval spice entrepôt; 15c English spice wages (pepper/cloves/saffron),2026-08-15
MUNRO-SPICES,Spices and Their Costs in Medieval Europe,John Munro / University of Toronto,https://www.economics.utoronto.ca/munro5/SPICES1.htm,12c–17c Oriental spices as the most profitable element of European long-distance trade; pepper as bulk leader,2026-08-15
EHNE-OVERSEAS,Spread of Products from Overseas in 17th-18th Century Europe,Encyclopédie d'histoire numérique de l'Europe,https://ehne.fr/en/encyclopedia/themes/humanism-enlightenment/european-enlightenment-culture/spread-products-overseas-in-17th-18th-century-europe,Coffee cacao tea sugar indigo cotton porcelain as 17c–18c consumer imports; Mocha–Java–Antilles coffee geography,2026-08-15
ATLANTIC-CABLE-GP,The Gutta Percha Company,Atlantic-Cable.com,https://atlantic-cable.com/Article/GuttaPercha/index.htm,Gutta-percha introduced to Britain 1843; Malay origin; submarine telegraph insulation,2026-08-15
PBS-CABLE-GP,Gutta-percha,PBS American Experience,https://www.pbs.org/wgbh/americanexperience/features/cable-gutta-percha/,Natural plastic from SE Asian trees as the key to transatlantic cable insulation,2026-08-15
SI-GUANO,The Smithsonian and the 19th century guano trade,Smithsonian National Museum of American History,https://americanhistory.si.edu/explore/stories/smithsonian-and-19th-century-guano-trade-this-poop-is-crap,1840s Chincha guano as premier fertiliser exported to Europe and the US,2026-08-15
BREAKTHROUGH-GUANO,Remember the Guano Wars,Breakthrough Institute,https://thebreakthrough.org/articles/remember-the-guano-wars,Peruvian guano boom ~1840 until Haber–Bosch 1909; Chincha and Pacific wars,2026-08-15
WD-GUANO,Guano,Wikipedia,https://en.wikipedia.org/wiki/Guano,Peruvian state monopoly; 1840 commercialisation; suggested blight-vector hypothesis,2026-08-15
FMG-EXCHANGE,交易品カタログ拡充計画,This repository,docs/plan/exchange/,Existing GOODS_DATA mapping and Coffee/Cacao/Rubber/Indigo/Porcelain drafts,2026-08-15
FMG-GOODS,交易品,This repository,docs/simulation/goods.md,Current staple-crop and catalogue behaviour,2026-08-15
