name_base_id,name_base,polity,attested_name,generator_stem,start_year,end_year,era,relative_frequency,source_ids,notes
0,German,East Francia,Regnum Francorum Orientalium,Franconia,843,962,early_medieval,55,WD-FORMER-STATES;BRITANNICA-HISTORY,Latin political name
0,German,Holy Roman Empire,Heiliges Römisches Reich,Imperium,962,1806,high_medieval,100,WD-FORMER-STATES;BRITANNICA-HISTORY,Use across multiple eras
0,German,Duchy of Saxony,Herzogtum Sachsen,Saxony,804,1180,early_medieval,50,WD-FORMER-STATES,Stem is geographic
0,German,Duchy of Bavaria,Herzogtum Bayern,Bavaria,555,1623,high_medieval,65,WD-FORMER-STATES,Date range covers changing duchies
0,German,Duchy of Swabia,Herzogtum Schwaben,Swabia,915,1313,high_medieval,45,WD-FORMER-STATES,Regional duchy
0,German,Margraviate of Brandenburg,Markgrafschaft Brandenburg,Brandenburg,1157,1806,late_medieval,70,WD-FORMER-STATES,Electorate after 1356
0,German,Electorate of Saxony,Kurfürstentum Sachsen,Saxony,1356,1806,early_modern,65,WD-FORMER-STATES,Electoral dignity
0,German,Kingdom of Prussia,Königreich Preußen,Prussia,1701,1918,modern,90,WD-FORMER-STATES;BRITANNICA-HISTORY,High modern salience
0,German,German Confederation,Deutscher Bund,Germany,1815,1866,modern,55,WD-FORMER-STATES,Confederation
0,German,German Empire,Deutsches Reich,Germany,1871,1918,modern,95,WD-FORMER-STATES;BRITANNICA-HISTORY,Imperial period
0,German,Federal Republic of Germany,Bundesrepublik Deutschland,Germany,1949,9999,contemporary,100,BRITANNICA-HISTORY,Current state
1,English,Kingdom of England,Kingdom of England,England,927,1707,high_medieval,100,WD-FORMER-STATES;BRITANNICA-HISTORY,Core English state name
1,English,Anglo-Saxon kingdoms,Kingdom of Wessex,Wessex,519,927,early_medieval,75,BRITANNICA-HISTORY,Pre-unification kingdom
1,English,Kingdom of Mercia,Kingdom of Mercia,Mercia,527,918,early_medieval,70,BRITANNICA-HISTORY,Pre-unification kingdom
1,English,Danelaw,Danelaw,Danelaw,878,954,early_medieval,35,BRITANNICA-HISTORY,Legal and territorial polity
1,English,Commonwealth of England,Commonwealth of England,Commonwealth,1649,1660,early_modern,45,WD-FORMER-STATES,Republican interregnum
1,English,Kingdom of Great Britain,Kingdom of Great Britain,Great Britain,1707,1801,early_modern,75,WD-FORMER-STATES,Union state
1,English,United Kingdom,United Kingdom of Great Britain and Ireland,United Kingdom,1801,1922,modern,90,WD-FORMER-STATES,Pre-partition constitutional name
1,English,United Kingdom,United Kingdom of Great Britain and Northern Ireland,United Kingdom,1922,9999,contemporary,100,BRITANNICA-HISTORY,Current constitutional name
2,French,West Francia,Regnum Francorum Occidentalium,Francia,843,987,early_medieval,55,WD-FORMER-STATES,Pre-Capetian kingdom
2,French,Kingdom of France,Royaume de France,France,987,1792,high_medieval,100,WD-FORMER-STATES;BRITANNICA-HISTORY,Core royal name
2,French,Duchy of Normandy,Duché de Normandie,Normandy,911,1469,high_medieval,60,WD-FORMER-STATES,Major northern duchy
2,French,County of Toulouse,Comté de Toulouse,Toulouse,778,1271,high_medieval,45,WD-FORMER-STATES,Occitan polity
2,French,Kingdom of Burgundy,Royaume de Bourgogne,Burgundy,879,1032,early_medieval,45,WD-FORMER-STATES,Transregional kingdom
2,French,First French Republic,République française,France,1792,1804,modern,70,WD-FORMER-STATES,Revolutionary name
2,French,First French Empire,Empire français,France,1804,1814,modern,75,WD-FORMER-STATES,First imperial period
2,French,Third French Republic,République française,France,1870,1940,modern,90,WD-FORMER-STATES,Long republican period
2,French,French Republic,République française,France,1958,9999,contemporary,100,BRITANNICA-HISTORY,Fifth Republic constitutional period
3,Italian,Kingdom of Italy,Regnum Italiae,Italy,774,1806,high_medieval,80,WD-FORMER-STATES,Medieval imperial kingdom
3,Italian,Republic of Venice,Repubblica di Venezia,Venice,697,1797,high_medieval,100,WD-FORMER-STATES;BRITANNICA-HISTORY,Long-lived maritime republic
3,Italian,Republic of Genoa,Repubblica di Genova,Genoa,1005,1797,high_medieval,70,WD-FORMER-STATES,Maritime republic
3,Italian,Republic of Florence,Repubblica Fiorentina,Florence,1115,1532,late_medieval,75,WD-FORMER-STATES,Central Italian republic
3,Italian,Papal States,Stato Pontificio,Papacy,756,1870,early_modern,80,WD-FORMER-STATES,Temporal papal state
3,Italian,Duchy of Milan,Ducato di Milano,Milan,1395,1797,late_medieval,65,WD-FORMER-STATES,North Italian duchy
3,Italian,Kingdom of the Two Sicilies,Regno delle Due Sicilie,Two Sicilies,1816,1861,modern,55,WD-FORMER-STATES,Restoration-era kingdom
3,Italian,Kingdom of Italy,Regno d'Italia,Italy,1861,1946,modern,95,WD-FORMER-STATES,Unified kingdom
3,Italian,Italian Republic,Repubblica Italiana,Italy,1946,9999,contemporary,100,BRITANNICA-HISTORY,Current state
4,Castillian,Kingdom of Asturias,Reino de Asturias,Asturias,718,924,early_medieval,50,WD-FORMER-STATES,Early Christian kingdom
4,Castillian,Kingdom of León,Reino de León,León,910,1230,early_medieval,60,WD-FORMER-STATES,Pre-union kingdom
4,Castillian,Kingdom of Castile,Reino de Castilla,Castile,1065,1230,high_medieval,85,WD-FORMER-STATES,Core Castilian polity
4,Castillian,Crown of Castile,Corona de Castilla,Castile,1230,1715,high_medieval,100,WD-FORMER-STATES;BRITANNICA-HISTORY,Core Castilian composite monarchy
