historical_period,owner_code,owner_label,hull_share,game_owner,notes
earlyMedieval,merchant_private,Private merchants / skipper-owners,0.70,market,""
earlyMedieval,nobility,Lords / warrior elites,0.15,market,""
earlyMedieval,crown_state,Kings / royal households,0.10,state,""
earlyMedieval,city_commune,Port towns / early communes,0.03,state,""
earlyMedieval,merchant_guild_company,Merchant associations / guilds,0.01,market,""
earlyMedieval,church_order,Church / monastic houses,0.01,market,""
highMedieval,merchant_private,Private merchants / partnerships,0.62,market,""
highMedieval,merchant_guild_company,Hansa / consorterie / merchant guilds,0.15,market,""
highMedieval,city_commune,City communes / maritime republics / Cinque Ports,0.10,state,""
highMedieval,crown_state,Crown / royal navy core,0.08,state,""
highMedieval,nobility,Magnates / territorial princes,0.04,market,""
highMedieval,church_order,Military orders / church,0.01,market,""
lateMedieval,merchant_private,Private merchants / partnerships,0.55,market,""
lateMedieval,merchant_guild_company,Hansa / regulated companies,0.15,market,""
lateMedieval,city_commune,Maritime republics / port cities,0.12,state,""
lateMedieval,crown_state,Crown / royal household ships,0.12,state,""
lateMedieval,nobility,Magnates / great lords,0.04,market,""
lateMedieval,church_order,Church / orders,0.02,market,""
ageOfExploration,merchant_private,Private merchants / shipowners,0.50,market,""
ageOfExploration,crown_state,Crown / royal navy / Casa systems,0.20,state,""
ageOfExploration,merchant_guild_company,Chartered companies / merchant corporations,0.15,market,""
ageOfExploration,city_commune,Maritime republics / free cities,0.08,state,""
ageOfExploration,nobility,Aristocratic investors / privateers,0.05,market,""
ageOfExploration,church_order,Church / residual orders,0.02,market,""
