historical_period,maritime_role,role_description,min_ports,typical_ports,total_ships_base,sloop_count,caravel_count,galleon_count,state_owned_share,merchant_owned_share,ships_per_extra_port,state_prefers_classes,merchant_prefers_classes,notes
earlyMedieval,minor_coastal,Small coastal realm with one modest harbour,1,1,3,3,0,0,0.25,0.75,1,"sloop","sloop","Fishers and coasters only."
earlyMedieval,regional_maritime,Realm with several ports or strong coastal trade,2,3,8,7,1,0,0.20,0.80,2,"sloop","sloop,caravel","One larger freighter as prestige/bulk outlier."
earlyMedieval,major_maritime,Exceptional early sea power,3,5,18,16,2,0,0.30,0.70,3,"sloop,caravel","sloop","Higher state share for war transport. Zero galleon tier."
earlyMedieval,oceanic_empire,Not historically applicable,4,6,0,0,0,0,0.00,0.00,0,"",,"Fold into major_maritime."
highMedieval,minor_coastal,Small coastal kingdom / county,1,1,5,4,1,0,0.20,0.80,1,"sloop","sloop,caravel",""
highMedieval,regional_maritime,Multi-port realm on a sea lane,2,3,14,11,3,0,0.15,0.85,3,"sloop,caravel","sloop,caravel","Merchant-dominated."
highMedieval,major_maritime,Maritime republic or strong coastal kingdom,3,6,40,30,9,1,0.25,0.75,4,"caravel,galleon","sloop,caravel","One great ship as flagship."
highMedieval,oceanic_empire,Not yet historical,5,8,0,0,0,0,0.00,0.00,0,"",,"Prefer major_maritime."
lateMedieval,minor_coastal,One-port coastal duchy / minor kingdom,1,1,6,4,2,0,0.20,0.80,2,"sloop","sloop,caravel",""
lateMedieval,regional_maritime,Multi-port realm with regional bulk trade,2,4,20,13,6,1,0.18,0.82,3,"sloop,caravel","sloop,caravel,galleon",""
lateMedieval,major_maritime,Hansa capital / Channel power / Italian republic,4,7,55,35,15,5,0.25,0.75,5,"caravel,galleon","sloop,caravel",""
lateMedieval,oceanic_empire,Early Iberian-style crown with Atlantic ambitions,5,10,90,50,25,15,0.35,0.65,6,"caravel,galleon","sloop,caravel,galleon",""
ageOfExploration,minor_coastal,Peripheral coastal state,1,2,8,6,2,0,0.20,0.80,2,"sloop","sloop,caravel",""
ageOfExploration,regional_maritime,Solid multi-port trading realm,2,4,28,20,6,2,0.20,0.80,4,"sloop,caravel","sloop,caravel,galleon","Near English 1582 class mix."
ageOfExploration,major_maritime,Leading European sea power short of full oceanic monopoly,4,8,80,55,18,7,0.25,0.75,6,"caravel,galleon","sloop,caravel,galleon",""
ageOfExploration,oceanic_empire,Iberian / early colonial maritime empire analogue,6,12,150,85,40,25,0.40,0.60,8,"galleon,caravel","sloop,caravel,galleon","State owns most galleon-tier capital ships."
