id,key,name,hybrid_parent_a,hybrid_parent_b,character_gender,civic_stance,bound_servitor_key,person_name_primary,person_name_alternate,arcane_cap,arcane_median,arcane_inclination,durability,infernal_atavism_chance,infernal_atavism_blue_blood_chance,infernal_atavism_arcane_cap,infernal_atavism_arcane_median,infernal_atavism_arcane_inclination,infernal_atavism_durability,skill_bias_artistry,skill_bias_diplomacy,skill_bias_engineering,skill_bias_geography,skill_bias_intrigue,skill_bias_learning,skill_bias_martial,skill_bias_prowess,skill_bias_stewardship,personality_bias_boldness,personality_bias_compassion,personality_bias_greed,personality_bias_honor,personality_bias_rationality,personality_bias_sociability,personality_bias_vengefulness,personality_bias_zeal,personality_bias_energy,personality_bias_piety,personality_bias_guile,personality_bias_confidence,mixed_polity_chance,bound_servitor_chance,hoard_sp_per_adult_year,water_lifting_ceiling_bonus,municipal_sanitation_ceiling_bonus,water_administration_bonus,water_urgency_threshold_multiplier,water_construction_speed_multiplier,lifespan_years,max_lifespan_years,fertility_start_years,fertility_end_years,interbirth_years,litter_mean,litter_max,looks_stature,looks_build,looks_symmetry,looks_refinement,looks_vitality,looks_ornament,beauty_weight_stature,beauty_weight_build,beauty_weight_symmetry,beauty_weight_refinement,beauty_weight_vitality,beauty_weight_ornament,looks_stature_min,looks_stature_max,looks_build_min,looks_build_max,looks_symmetry_min,looks_symmetry_max,looks_refinement_min,looks_refinement_max,looks_vitality_min,looks_vitality_max,looks_ornament_min,looks_ornament_max,population_capacity_multiplier,furry_scale_min,furry_scale_max,appearance_kind,carnivorous_animals,bound_servitor_roles,horn_animals,animals,continuous_monogamy,food_independent,temperature_independent
0,unknown,Unknown,,,,distant,,null,,10,3,0.12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,75,100,16,45,3.5,1.05,3,50,50,50,50,55,45,0.3,0.2,1.2,0.8,0.9,0.2,,,,,,,,,,,,,,,,,,,,,,,
1,human,Human,,,,diplomatic,,null,,10,3,0.12,1,0.006,0.5,90,42,0.35,1,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,75,100,16,45,3.5,1.05,3,50,50,50,50,55,45,0.3,0.2,1.2,0.8,0.9,0.2,,,,,,,,,,,,,,,,,,,,,,,
2,elf,Elf,,,,diplomatic,half_elf,7,22,95,50,0.55,1.15,,,,,,,5,3,,3,,10,-8,6,,-12,5,-12,4,8,,-10,-4,-6,,,,0.1,0.006,,,,,,,750,1000,100,400,120,1,2,55,35,65,75,60,40,0.4,-0.6,1.1,1.4,0.5,0.2,,,,,,,,,,,,,,,,,,ordinary|merchant|religious|central_officer,,,,,
3,dark_elf,Dark Elf,,,,distant,,23,42,85,48,0.6,1.1,,,,,,,2,-4,,,6,3,-6,3,,-4,-6,-2,-2,,-6,4,,,,8,,0,,0.08,,,,,,700,950,80,380,100,1,2,50,40,60,70,50,55,0.3,-0.3,1,1.2,0.4,0.7,,,,,,,,,,,,,,,,,,,,,,,
4,dwarf,Dwarf,,,,diplomatic,,6,0,10,2,0.05,1.35,,,,,,,,,8,,,1,-3,1,2,-4,,-4,4,3,,-2,,-2,,,,0.1,,,,,,,,350,450,40,160,30,1.05,2,30,70,50,45,60,50,-0.4,1.2,0.7,0.2,0.9,0.6,,,,,,,,,,,,,0.3,,,,,,,,true,true,true
5,goblin,Goblin,,,,enemy_colony,,null,,6,2,0.15,0.85,,,,,,,-4,-12,-3,,4,-6,2,6,-5,6,-6,10,-6,,,4,,8,,6,,0,,,,,,,,50,70,10,35,1.5,2,5,25,40,40,30,50,55,0.2,0.5,0.3,-0.4,1,0.8,,,,,,,,,,,,,,,,,,,,,,,
6,orc,Orc,,,,enemy_colony,,null,,4,1,0.05,1.25,,,,,,,-4,-10,-2,,-2,-4,0,10,-3,10,-8,6,,-4,,8,,6,,,,0,,,,,,,,60,80,12,40,2.5,1.3,4,65,75,45,30,65,60,1,1.4,0.2,-0.7,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,
7,giant,Giant,,,,distant,,6,,90,45,0.35,3.5,,,,,,,4,-6,8,,4,-3,-8,14,,2,-6,-2,2,4,-8,2,2,-2,,6,6,0,,0.2,0.3,0.25,0.15,0.6,1.35,800,1200,100,450,130,1,2,90,80,45,35,55,40,1.5,1,0.4,-0.3,0.7,0.2,,,,,,,,,,,,,0.1,,,,,,,,,true,true
8,draconic,Draconic,,,,distant,wyrmkin,11,,40,18,0.08,8,,,,,,,1,-8,-6,,2,2,-12,14,,4,-8,8,2,4,-10,2,,,,,,0,1,1,,,,,,1200,2000,100,500,160,1,3,70,65,55,50,70,55,0.9,0.7,0.5,0.4,1.2,0.8,,,,,,,,,,,,,,,,,,merchant|ordinary,,,,,
9,arachnid,Arachnid,,,,enemy_colony,,null,,5,2,0.12,0.9,,,,,,,-4,-14,2,3,8,-4,-4,6,-6,-2,-12,4,,,-12,6,,2,,8,,0,,,,,,,,60,100,8,30,1.2,3,8,40,45,35,40,55,70,0.3,0.4,-0.2,0.5,0.8,1.3,,,,,,,,,,,,,,,,,,,,,,,
