id,name_en,name_ja,alt_names,slot,occupies,handedness,category,typical_length_cm,typical_weight_kg,origin_region,period,attestation,rpg_examples,notes
spear,Spear,スピア / 槍,generic thrusting spear,two_hand,main_hand or both,versatile,thrust,180-250,1.0-2.0,universal,Paleolithic onward,both,D&D spear; DQ やり,片手＋盾または両手。投擲可の短めあり
short_spear,Short spear,ショートスピア,stabbing spear,main_hand,main_hand,1H,thrust,150-180,0.8-1.5,universal,universal,both,D&D 3.5 shortspear,
javelin,Javelin,ジャベリン,throwing spear,main_hand,main_hand or ammo,thrown,thrown,120-180,0.5-1.2,universal,universal,both,D&D javelin,携帯本数がスロット ammo
angon,Angon,アンゴン,barbed javelin,main_hand,main_hand,thrown,thrown,150-200,0.8-1.4,Frankish,Early Medieval,historical,, barb で盾に刺さる
pilum,Pilum,ピルム,Roman throwing spear,main_hand,main_hand or ammo,thrown,thrown,180-220,1.0-2.5,Rome,Republic-Empire,both,TES; Rome,柔らかい鉄脚で盾を無力化
hasta,Hasta,ハスタ,Roman thrusting spear,two_hand,main_hand or both,versatile,thrust,180-250,1.0-2.0,Rome,Kingdom-Republic,historical,triarii,重装の突き槍
dory,Dory,ドリュ,hoplite spear,two_hand,main_hand+off_hand (shield in left),1H with aspis,thrust,210-270,1.0-1.8,Greece,Archaic-Classical,historical,phalanx,左手はアスピス
sarissa,Sarissa,サリッサ,Macedonian pike,two_hand,main_hand+off_hand,2H,pike,450-550,3.5-6.0,Macedonia,Hellenistic,both,phalanx fantasy,両手。小盾を肩から下げる
pike,Pike,パイク,infantry pike,two_hand,main_hand+off_hand,2H,pike,400-550,3.0-5.0,Europe,Late Medieval-Renaissance,both,D&D pike 18lb is very heavy,スイス／テルシオ。ゲーム重量は過大になりやすい
yari,Yari,槍（やり）,Japanese spear,two_hand,main_hand+off_hand,2H,thrust,180-400,1.2-2.5,Japan,Kamakura-Edo,both,sengoku RPGs,長さは足軽の長柄から騎馬用まで幅広い
suyari,Suyari,素槍,straight yari,two_hand,main_hand+off_hand,2H,thrust,180-280,1.2-2.2,Japan,Sengoku,historical,,
kama_yari,Kama-yari,鎌槍,sickle spear,two_hand,main_hand+off_hand,2H,thrust_hook,200-280,1.5-2.5,Japan,Sengoku,historical,,
magari_yari,Magari-yari,曲槍,jumonji yari,two_hand,main_hand+off_hand,2H,trident_like,200-280,1.5-2.8,Japan,Sengoku,historical,,十文字槍
naginata,Naginata,薙刀,,two_hand,main_hand+off_hand,2H,glaive,180-250,1.5-2.5,Japan,Heian-Edo,both,FF なぎなた; female warrior trope,刃長30-60cm。僧兵・武士・後に女性武芸
nagamaki,Nagamaki,長巻,,two_hand,main_hand+off_hand,2H,long_hafted_sword,150-200,1.5-2.5,Japan,Nanbokucho-Sengoku,both,Souls Nagamaki,柄が刃と同じくらい長い
qiang,Qiang,槍（ちゃお / チアン）,Chinese spear,two_hand,main_hand+off_hand,2H,thrust,180-280,1.0-2.0,China,Zhou onward,both,wuxia,紅纓槍など。最ありふれた長柄
ge,Ge,戈,dagger-axe,two_hand,main_hand+off_hand,2H,hook_slash,90-180,1.0-2.0,China,Bronze Age-Han,historical,ancient China,横刃で引き斬る戦車兵器
ji,Ji,戟,Chinese halberd,two_hand,main_hand+off_hand,2H,spear_plus_ge,180-280,1.5-2.8,China,Warring States-Han,both,Romance of Three Kingdoms,戈に槍先を足したもの。欧州ハルバードとは形が違う
fangtian_ji,Fangtian ji,方天戟,double crescent ji,two_hand,main_hand+off_hand,2H,halberd_ornate,180-250,1.8-3.0,China,later martial,both,Lu Bu image,小説・武術の華やかな戟
guandao,Guandao,関刀,yanyuedao; reclining moon blade,two_hand,main_hand+off_hand,2H,heavy_glaive,180-250,2.0-4.0 (exam pieces far heavier),China,Song onward,both,Guan Yu; Dynasty Warriors,実戦品は2-4kg。科挙の関刀は10kg級の筋力試験
podao,Podao,朴刀,horse-cutter analog,two_hand,main_hand+off_hand,2H,long_saber_pole,150-200,1.5-2.5,China,Song-Ming,historical,,
halberd,Halberd,ハルバード,helmbarte,two_hand,main_hand+off_hand,2H,axe_spike_hook,180-250,2.0-3.5,Switzerland / Germany,14C-16C,both,D&D halberd,斧＋槍先＋フック。対騎兵
voulge,Voulge,ヴージュ,pole cleaver,two_hand,main_hand+off_hand,2H,cleaver,180-240,2.0-3.5,France / Switzerland,13C-15C,historical,halberd ancestor,
glaive,Glaive,グレイブ,fauchard adjacent,two_hand,main_hand+off_hand,2H,knife_blade_on_pole,180-240,2.0-3.2,Western Europe,13C-16C,both,D&D glaive,刀身を柄に付けたもの
fauchard,Fauchard,フォーシャール,war scythe cousin,two_hand,main_hand+off_hand,2H,curved_inward,180-240,2.0-3.0,Europe,Medieval,historical,,
bill,Bill,ビル,billhook; English bill,two_hand,main_hand+off_hand,2H,hooked_chop,180-250,2.0-3.5,England,14C-16C,both,English militia,農具鉈鎌の戦用。対騎兵に強い
gisarme,Gisarme,ギザーム,guisarme,two_hand,main_hand+off_hand,2H,hooked,180-240,2.0-3.2,Europe,Medieval,both,D&D guisarme,
partisan,Partisan,パルチザン,partizane,two_hand,main_hand+off_hand,2H,winged_spear,180-240,1.8-3.0,Italy / Europe,16C-17C,historical,ceremonial,翼付き広刃槍。儀仗に残る
spontoon,Spontoon,スポントゥーン,half-pike,two_hand,main_hand+off_hand,2H,short_pike,150-200,1.2-2.0,Europe,17C-18C,historical,officer,士官指揮槍
ranseur,Ranseur,ランサー,corseque cousin,two_hand,main_hand+off_hand,2H,trident_spear,180-240,2.0-3.0,Europe,16C,both,D&D ranseur,脇刃で武器を絡める
corseque,Corseque,コルセーク,chauve-souris,two_hand,main_hand+off_hand,2H,winged,180-240,2.0-3.0,Italy / Corsica,16C,historical,,
spetum,Spetum,スペータム,,two_hand,main_hand+off_hand,2H,forked_spear,180-240,1.8-2.8,Italy,15C-16C,historical,D&D,
trident,Trident,トライデント,leister,main_hand,main_hand or 2H,versatile,three_prong,150-220,1.5-2.5,Mediterranean / universal,Ancient onward,both,D&D trident; gladiator,漁具兼闘士。ポセイドン幻想
military_fork,Military fork,ミリタリーフォーク,,two_hand,main_hand+off_hand,2H,two_prong,180-240,1.8-3.0,Europe,15C-17C,historical,,
