id,name_en,name_ja,alt_names,slot,occupies,handedness,category,typical_length_cm,typical_weight_kg,origin_region,period,attestation,tradition,associated_figure,source_text,rpg_examples,notes
gungnir,Gungnir,グングニル,Odin's spear,two_hand,main_hand or thrown,2H or thrown,never_miss,n/a,n/a,Scandinavia,Medieval,mythology,Norse,Odin,Prose Edda; skaldic verse,God of War; SMITE; FF,ドワーフ作。投げるといつも当たる。戦争開始に敵陣へ投げる
gae_bolg,Gáe Bolg,ゲイ・ボルク,Gáe Bulga; belly spear,main_hand,main_hand,thrown or thrust,barbed_spear,n/a,n/a,Ireland,Medieval Irish,epic,Ulster Cycle,Cú Chulainn; Scáthach,Táin Bó Cúailnge,Fate,足で投げる。体内で棘が開く。師スカータハから
gae_assail,Gáe Assail,ゲイ・アッサル,Areadbhair; Luin of Celtchar (related),two_hand,main_hand+off_hand,2H,lightning_spear,n/a,n/a,Ireland,Medieval Irish,mythology,Tuatha Dé Danann,Lugh,Mythological Cycle; later lists,Fate ゲイ・アッサル,投げるといつも当たり、唱えれば戻る。四秘宝の槍
luin_celtchar,Lúin of Celtchar,ケルトハルのルイン,spear of fire,two_hand,main_hand+off_hand,2H,fire_spear,n/a,n/a,Ireland,Medieval Irish,epic,Ulster Cycle,Celtchar; later Lugh conflation,Ulster tales,rare,使い時以外は大釜に浸けて火を鎮める
rhongomyniad,Rhongomyniad,ロンゴミニアド,Ron; Rhongomiant,two_hand,main_hand+off_hand,2H,lance,n/a,n/a,Wales / Britain,Medieval,epic,Arthurian,Arthur,Culhwch and Olwen; Historia Brittonum,Fate,アーサーの槍。ロンは「槍」の意
ame_no_nuboko,Ame-no-nuboko,天之瓊矛,Heavenly Jeweled Spear,two_hand,main_hand+off_hand,2H,cosmogonic_spear,n/a,n/a,Japan,Kojiki-Nihon Shoki,mythology,Shinto,Izanagi; Izanami,Kojiki; Nihon Shoki,many jRPGs,混沌を掻き回しオノゴロ島を成す。国産みの矛
holy_lance,Holy Lance,ロンギヌスの槍,Spear of Destiny; Lance of Longinus,two_hand,main_hand+off_hand,2H,relic_spear,n/a,n/a,Levant / Europe,Christian legend,religious_legend,Christian,Longinus; Crucifixion,John 19:34 and later relic cults,FF ロンギヌス; Evangelion-adjacent,キリストの脇を刺した centurion の槍。複数の「真物」が中世に流通
poseidon_trident,Trident of Poseidon,ポセイドーンのトライデント,Triaina,two_hand,main_hand+off_hand,2H,trident,n/a,n/a,Greece,Archaic,mythology,Greek,Poseidon / Neptune,Hesiod; vase painting,God of War; SMITE; FF,地震と海を起こす。キュクロープスがタイタン戦で鍛える
trishula,Trishula,トリシューラ,Shiva's trident,two_hand,main_hand+off_hand,2H,trident,n/a,n/a,India,Puranic,mythology,Hindu,Shiva,Puranas; iconography,SMITE,三つの刃が三徳・三時を表す
vel,Vel,ヴェール,Shakti; Murugan's spear,main_hand,main_hand,1H or thrown,divine_spear,n/a,n/a,South India,Tamil / Puranic,mythology,Hindu / Tamil,Murugan / Skanda; Parvati,Tamil hymns; Skanda Purana,rare,パールヴァティーが与える。悪を貫く
